mf	64	0.5	0	4.2596	3.2990
mf	64	0.5	0.1	4.2227	3.2970
mf	64	0.5	0.01	4.2539	3.2947
mf	64	0.5	0.001	4.2613	3.2989
mf	64	0.1	0	4.1228	3.1797
mf	64	0.1	0.1	4.0920	3.1632
mf	64	0.1	0.01	4.1049	3.1695
mf	64	0.1	0.001	4.1239	3.1816
mf	64	0.05	0	4.1395	3.1865
mf	64	0.05	0.1	4.0897	3.1706
mf	64	0.05	0.01	4.1033	3.1704
mf	64	0.05	0.001	4.1342	3.1879
mf	64	0.01	0	4.1576	3.2011
mf	64	0.01	0.1	4.0864	3.1719
mf	64	0.01	0.01	4.1236	3.1813
mf	64	0.01	0.001	4.1532	3.1969
mf	128	0.5	0	4.1457	3.2067
mf	128	0.5	0.1	4.1346	3.2170
mf	128	0.5	0.01	4.1387	3.2041
mf	128	0.5	0.001	4.1465	3.2095
mf	128	0.1	0	4.1424	3.1921
mf	128	0.1	0.1	4.0881	3.1652
mf	128	0.1	0.01	4.1043	3.1742
mf	128	0.1	0.001	4.1337	3.1859
mf	128	0.05	0	4.1411	3.1874
mf	128	0.05	0.1	4.0878	3.1632
mf	128	0.05	0.01	4.1058	3.1703
mf	128	0.05	0.001	4.1384	3.1915
mf	128	0.01	0	4.1664	3.2074
mf	128	0.01	0.1	4.1570	3.2754
mf	128	0.01	0.01	4.1248	3.1831
mf	128	0.01	0.001	4.1533	3.1944
mf	256	0.5	0	4.1206	3.1779
mf	256	0.5	0.1	4.0967	3.1697
mf	256	0.5	0.01	4.1137	3.1776
mf	256	0.5	0.001	4.1218	3.1826
mf	256	0.1	0	4.1472	3.1952
mf	256	0.1	0.1	4.0870	3.1605
mf	256	0.1	0.01	4.1125	3.1745
mf	256	0.1	0.001	4.1605	3.2130
mf	256	0.05	0	4.1620	3.2037
mf	256	0.05	0.1	4.0860	3.1606
mf	256	0.05	0.01	4.1105	3.1709
mf	256	0.05	0.001	4.1527	3.1998
mf	256	0.01	0	4.1744	3.2061
mf	256	0.01	0.1	4.3166	3.4492
mf	256	0.01	0.01	4.1240	3.1843
mf	256	0.01	0.001	4.1648	3.2055
mf	1024	0.5	0	4.1474	3.1972
mf	1024	0.5	0.1	4.0897	3.1656
mf	1024	0.5	0.01	4.1178	3.1799
mf	1024	0.5	0.001	4.1461	3.1973
mf	1024	0.1	0	4.1756	3.2080
mf	1024	0.1	0.1	4.1317	3.2418
mf	1024	0.1	0.01	4.1220	3.1779
mf	1024	0.1	0.001	4.1587	3.1996
mf	1024	0.05	0	4.1726	3.2095
mf	1024	0.05	0.1	4.2803	3.4087
mf	1024	0.05	0.01	4.1267	3.1841
mf	1024	0.05	0.001	4.1663	3.2038
mf	1024	0.01	0	4.5678	3.6604
mf	1024	0.01	0.1	5.2506	4.4446
mf	1024	0.01	0.01	4.6110	3.7134
mf	1024	0.01	0.001	4.5899	3.6901
bmf	64	0.5	0	4.2465	3.2710
bmf	64	0.5	0.1	4.1734	3.2415
bmf	64	0.5	0.01	4.2276	3.2606
bmf	64	0.5	0.001	4.2415	3.2664
bmf	64	0.1	0	4.1037	3.1716
bmf	64	0.1	0.1	4.0761	3.1481
bmf	64	0.1	0.01	4.0889	3.1588
bmf	64	0.1	0.001	4.1027	3.1672
bmf	64	0.05	0	4.1201	3.1755
bmf	64	0.05	0.1	4.0663	3.1449
bmf	64	0.05	0.01	4.0956	3.1580
bmf	64	0.05	0.001	4.1173	3.1752
bmf	64	0.01	0	4.1494	3.1942
bmf	64	0.01	0.1	4.0769	3.1573
bmf	64	0.01	0.01	4.0987	3.1621
bmf	64	0.01	0.001	4.1354	3.1872
bmf	128	0.5	0	4.1234	3.1917
bmf	128	0.5	0.1	4.1034	3.1884
bmf	128	0.5	0.01	4.1169	3.1840
bmf	128	0.5	0.001	4.1214	3.1901
bmf	128	0.1	0	4.1281	3.1806
bmf	128	0.1	0.1	4.0674	3.1465
bmf	128	0.1	0.01	4.0965	3.1571
bmf	128	0.1	0.001	4.1169	3.1747
bmf	128	0.05	0	4.1307	3.1855
bmf	128	0.05	0.1	4.0719	3.1433
bmf	128	0.05	0.01	4.1074	3.1732
bmf	128	0.05	0.001	4.1239	3.1764
bmf	128	0.01	0	4.1602	3.2045
bmf	128	0.01	0.1	4.1500	3.2639
bmf	128	0.01	0.01	4.1019	3.1644
bmf	128	0.01	0.001	4.1446	3.1930
bmf	256	0.5	0	4.1157	3.1758
bmf	256	0.5	0.1	4.0817	3.1522
bmf	256	0.5	0.01	4.0968	3.1544
bmf	256	0.5	0.001	4.1184	3.1847
bmf	256	0.1	0	4.1369	3.1892
bmf	256	0.1	0.1	4.0674	3.1390
bmf	256	0.1	0.01	4.1007	3.1658
bmf	256	0.1	0.001	4.1313	3.1898
bmf	256	0.05	0	4.1339	3.1833
bmf	256	0.05	0.1	4.0684	3.1431
bmf	256	0.05	0.01	4.1052	3.1678
bmf	256	0.05	0.001	4.1308	3.1841
bmf	256	0.01	0	4.1534	3.2010
bmf	256	0.01	0.1	4.3240	3.4546
bmf	256	0.01	0.01	4.1138	3.1751
bmf	256	0.01	0.001	4.1586	3.2066
bmf	1024	0.5	0	4.1262	3.1849
bmf	1024	0.5	0.1	4.0742	3.1461
bmf	1024	0.5	0.01	4.0949	3.1647
bmf	1024	0.5	0.001	4.1247	3.1807
bmf	1024	0.1	0	4.1552	3.2009
bmf	1024	0.1	0.1	4.1182	3.2214
bmf	1024	0.1	0.01	4.1105	3.1713
bmf	1024	0.1	0.001	4.1374	3.1903
bmf	1024	0.05	0	4.1555	3.1999
